INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
ERROR: TFCPlus.zs:174: Could not resolve <liquid : oil>
ERROR: Error parsing TFCPlus.zs:175 -- ; expected
<bark:item.BambooBarkBasket>, Bamboo Bark Basket
<terrafirmacraftplus:item.Blue Steel Helmet>, Blue Steel Helmet
<terrafirmacraftplus:item.Blue Steel Hoe>, Blue Steel Hoe
<terrafirmacraftplus:item.Blue Steel Hoe Head>, Blue Steel Hoe Head
<terrafirmacraftplus:item.Blue Steel Ingot>, Blue Steel Ingot
<terrafirmacraftplus:item.Blue Steel Javelin>, Blue Steel Javelin
<terrafirmacraftplus:item.Blue Steel Javelin Head>, Blue Steel Javelin Head
<terrafirmacraftplus:item.Blue Steel Knife>, Blue Steel Knife
<terrafirmacraftplus:item.Blue Steel Knife Blade>, Blue Steel Knife Blade
<terrafirmacraftplus:item.Blue Steel Mace>, Blue Steel Mace
<terrafirmacraftplus:item.Blue Steel Mace Head>, Blue Steel Mace Head
<terrafirmacraftplus:item.Blue Steel Pick>, Blue Steel Pickaxe
<terrafirmacraftplus:item.Blue Steel Pick Head>, Blue Steel Pickaxe Head
<terrafirmacraftplus:item.Blue Steel ProPick>, Blue Steel Prospector's Pick
<terrafirmacraftplus:item.Blue Steel ProPick Head>, Blue Steel Prospector's Pick Head
<terrafirmacraftplus:item.Blue Steel Saw>, Blue Steel Saw
<terrafirmacraftplus:item.Blue Steel Saw Blade>, Blue Steel Saw Blade
<terrafirmacraftplus:item.Blue Steel Scythe>, Blue Steel Scythe
<terrafirmacraftplus:item.Blue Steel Scythe Blade>, Blue Steel Scythe Blade
<terrafirmacraftplus:item.Blue Steel Sheet>, Blue Steel Sheet
<terrafirmacraftplus:item.Blue Steel Shovel>, Blue Steel Shovel
<terrafirmacraftplus:item.Blue Steel Shovel Head>, Blue Steel Shovel Head
<terrafirmacraftplus:item.Blue Steel Sword>, Blue Steel Sword
<terrafirmacraftplus:item.Blue Steel Sword Blade>, Blue Steel Sword Blade
<terrafirmacraftplus:item.Blue Steel Trowel>, Blue Steel Mason's Trowel
<terrafirmacraftplus:item.Blue Steel Trowel Head>, Blue Steel Mason's Trowel Head
<terrafirmacraftplus:item.Blue Steel Tuyere>, Blue Steel Tuyere
<terrafirmacraftplus:item.Blue Steel Unfinished Boots>, Unfinished Blue Steel Boots
<terrafirmacraftplus:item.Blue Steel Unfinished Chestplate>, Unfinished Blue Steel Chestplate
<terrafirmacraftplus:item.Blue Steel Unfinished Greaves>, Unfinished Blue Steel Greaves
<terrafirmacraftplus:item.Blue Steel Unfinished Helmet>, Unfinished Blue Steel Helmet
<terrafirmacraftplus:item.Blue Steel Unshaped>, Unshaped: Blue Steel
<terrafirmacraftplus:item.Blueberry>, Blueberries
<terrafirmacraftplus:item.Blueprint>, Blueprint
<terrafirmacraftplus:item.Bone>, Bone
<terrafirmacraftplus:item.Bone Flute>, Bone Flute
<terrafirmacraftplus:item.Bone Fragment>, Bone Fragment
<terrafirmacraftplus:item.Bone Needle>, Bone Needle
<terrafirmacraftplus:item.Bone Needle Thread>, Threaded Bone Needle
<terrafirmacraftplus:item.Boot Soles>, Leather Boot Soles
<terrafirmacraftplus:item.Boot Tops>, Leather Boot Tops
<terrafirmacraftplus:item.Bow Firestarter>, Bow Drill
<terrafirmacraftplus:item.Brandy>, Bottle of Brandy
<terrafirmacraftplus:item.Brass Candle Holder>, Brass Candle Holder
<terrafirmacraftplus:item.Brass Clock>, Brass 12-Hour Clock
<terrafirmacraftplus:item.Brass Clock Gear>, Brass Clockwork Gear (32 teeth)
<terrafirmacraftplus:item.Brass Compass>, Brass Compass
<terrafirmacraftplus:item.Brass Dial>, Brass Dial
<terrafirmacraftplus:item.Brass Disc>, Brass Disc
<terrafirmacraftplus:item.Brass Double Ingot>, Brass Double Ingot
<terrafirmacraftplus:item.Brass Double Sheet>, Brass Double Sheet
<terrafirmacraftplus:item.Brass Ingot>, Brass Ingot
<terrafirmacraftplus:item.Brass Sheet>, Brass Sheet
<terrafirmacraftplus:item.Brass Tube>, Brass Tube
<terrafirmacraftplus:item.Brass Unshaped>, Unshaped: Brass
<terrafirmacraftplus:item.Brick>, Clay Brick
<terrafirmacraftplus:item.Bronze Axe>, Bronze Axe
<terrafirmacraftplus:item.Bronze Axe Head>, Bronze Axe Head
<terrafirmacraftplus:item.Bronze Boots>, Bronze Boots
<terrafirmacraftplus:item.Bronze Chestplate>, Bronze Chestplate
<terrafirmacraftplus:item.Bronze Chisel>, Bronze Chisel
<terrafirmacraftplus:item.Bronze Chisel Head>, Bronze Chisel Head
<terrafirmacraftplus:item.Bronze Double Ingot>, Bronze Double Ingot
<terrafirmacraftplus:item.Bronze Double Sheet>, Bronze Double Sheet
<terrafirmacraftplus:item.Bronze Greaves>, Bronze Greaves
<terrafirmacraftplus:item.Bronze Hammer>, Bronze Hammer
<terrafirmacraftplus:item.Bronze Hammer Head>, Bronze Hammer Head
<terrafirmacraftplus:item.Bronze Helmet>, Bronze Helmet
<terrafirmacraftplus:item.Bronze Hoe>, Bronze Hoe
<terrafirmacraftplus:item.Bronze Hoe Head>, Bronze Hoe Head
<terrafirmacraftplus:item.Bronze Ingot>, Bronze Ingot
<terrafirmacraftplus:item.Bronze Javelin>, Bronze Javelin
<terrafirmacraftplus:item.Bronze Javelin Head>, Bronze Javelin Head
<terrafirmacraftplus:item.Bronze Knife>, Bronze Knife
<terrafirmacraftplus:item.Bronze Knife Blade>, Bronze Knife Blade
<terrafirmacraftplus:item.Bronze Mace>, Bronze Mace
<terrafirmacraftplus:item.Bronze Mace Head>, Bronze Mace Head
<terrafirmacraftplus:item.Bronze Pick>, Bronze Pickaxe
<terrafirmacraftplus:item.Bronze Pick Head>, Bronze Pickaxe Head
<terrafirmacraftplus:item.Bronze ProPick>, Bronze Prospector's Pick
<terrafirmacraftplus:item.Bronze ProPick Head>, Bronze Prospector's Pick Head
<terrafirmacraftplus:item.Bronze Saw>, Bronze Saw
<terrafirmacraftplus:item.Bronze Saw Blade>, Bronze Saw Blade
<terrafirmacraftplus:item.Bronze Scythe>, Bronze Scythe
<terrafirmacraftplus:item.Bronze Scythe Blade>, Bronze Scythe Blade
<terrafirmacraftplus:item.Bronze Sheet>, Bronze Sheet
<terrafirmacraftplus:item.Bronze Shovel>, Bronze Shovel
<terrafirmacraftplus:item.Bronze Shovel Head>, Bronze Shovel Head
<terrafirmacraftplus:item.Bronze Sword>, Bronze Sword
<terrafirmacraftplus:item.Bronze Sword Blade>, Bronze Sword Blade
<terrafirmacraftplus:item.Bronze Trowel>, Bronze Mason's Trowel
<terrafirmacraftplus:item.Bronze Trowel Head>, Bronze Mason's Trowel Head
<terrafirmacraftplus:item.Bronze Tuyere>, Bronze Tuyere
<terrafirmacraftplus:item.Bronze Unfinished Boots>, Unfinished Bronze Boots
<terrafirmacraftplus:item.Bronze Unfinished Chestplate>, Unfinished Bronze Chestplate
<terrafirmacraftplus:item.Bronze Unfinished Greaves>, Unfinished Bronze Greaves
<terrafirmacraftplus:item.Bronze Unfinished Helmet>, Unfinished Bronze Helmet
<terrafirmacraftplus:item.Bronze Unshaped>, Unshaped: Bronze
<terrafirmacraftplus:item.Brown Mushroom>, Brown Mushroom
<terrafirmacraftplus:item.Bullet Mold>, Clay Bullet Mold
<terrafirmacraftplus:item.Bunchberry>, Bunchberries
<terrafirmacraftplus:item.Burlap Sack>, Burlap Sack
<terrafirmacraftplus:item.BurlapCloth>, Burlap Cloth
<terrafirmacraftplus:item.Cabbage>, Cabbage
<terrafirmacraftplus:item.Calamari>, Calamari
<terrafirmacraftplus:item.Candle Holder Mold>, Clay Candle Holder Mold
<terrafirmacraftplus:item.Cane Juice>, Bottle of Cane Juice
<terrafirmacraftplus:item.Cane JuicePottery>, Cane Juice Jug
<terrafirmacraftplus:item.Cane Wine>, Bottle of Cane Wine
<terrafirmacraftplus:item.Cane WinePottery>, Cane Wine Jug
<terrafirmacraftplus:item.Carrot>, Carrot
<terrafirmacraftplus:item.Cast>, Cast
<terrafirmacraftplus:item.Ceramic Bucket Empty>, Ceramic Bucket
<terrafirmacraftplus:item.Ceramic Bucket Gypsum>, Ceramic Bucket (Gypsum)
<terrafirmacraftplus:item.Ceramic Bucket Honey>, Ceramic Bucket (Honey)
<terrafirmacraftplus:item.Ceramic Bucket Milk>, Ceramic Bucket (Milk)
<terrafirmacraftplus:item.Ceramic Bucket Pitch>, Ceramic Bucket (Pitch)
<terrafirmacraftplus:item.Ceramic Bucket Plaster>, Ceramic Bucket (Plaster)
<terrafirmacraftplus:item.Ceramic Bucket Salt Water>, Ceramic Bucket (Salt Water)
<terrafirmacraftplus:item.Ceramic Bucket Vinegar>, Ceramic Bucket (Vinegar)
<terrafirmacraftplus:item.Ceramic Bucket Water>, Ceramic Bucket (Fresh Water)
<terrafirmacraftplus:item.Cheese>, Cheese
<terrafirmacraftplus:item.Cherry>, Cherry
<terrafirmacraftplus:item.Cherry Juice>, Bottle of Cherry Juice
<terrafirmacraftplus:item.Cherry JuicePottery>, Cherry Juice Jug
<terrafirmacraftplus:item.Chestnut Door>, Chestnut Door
<terrafirmacraftplus:item.Chicken>, Poultry
<terrafirmacraftplus:item.Chisel Mold>, Clay Chisel Mold
<terrafirmacraftplus:item.Cider>, Bottle of Cider
<terrafirmacraftplus:item.CiderPottery>, Cider Jug
<terrafirmacraftplus:item.Clay>, Clay
<terrafirmacraftplus:item.Clay Tile>, Clay Tile
<terrafirmacraftplus:item.ClayBowl>, Clay Bowl
<terrafirmacraftplus:item.Cloudberry>, Cloudberries
<terrafirmacraftplus:item.Coat Back>, Wool Coat Back
<terrafirmacraftplus:item.Coat Front>, Wool Coat Front
<terrafirmacraftplus:item.Coconut>, Coconut
<terrafirmacraftplus:item.CoconutFruit>, Coconut
<terrafirmacraftplus:item.CoconutJuice>, Bottle of Coconut Juice
<terrafirmacraftplus:item.CoconutJuicePottery>, Coconut Juice Jug
<terrafirmacraftplus:item.CoconutMeat>, Coconut Meat
<terrafirmacraftplus:item.Copper Axe>, Copper Axe
<terrafirmacraftplus:item.Copper Axe Head>, Copper Axe Head
<terrafirmacraftplus:item.Copper Boots>, Copper Boots
<terrafirmacraftplus:item.Copper Chestplate>, Copper Chestplate
<terrafirmacraftplus:item.Copper Chisel>, Copper Chisel
<terrafirmacraftplus:item.Copper Chisel Head>, Copper Chisel Head
<terrafirmacraftplus:item.Copper Double Ingot>, Copper Double Ingot
<terrafirmacraftplus:item.Copper Double Sheet>, Copper Double Sheet
<terrafirmacraftplus:item.Copper Greaves>, Copper Greaves
<terrafirmacraftplus:item.Copper Hammer>, Copper Hammer
<terrafirmacraftplus:item.Copper Hammer Head>, Copper Hammer Head
<terrafirmacraftplus:item.Copper Helmet>, Copper Helmet
<terrafirmacraftplus:item.Copper Hoe>, Copper Hoe
<terrafirmacraftplus:item.Copper Hoe Head>, Copper Hoe Head
<terrafirmacraftplus:item.Copper Ingot>, Copper Ingot
<terrafirmacraftplus:item.Copper Javelin>, Copper Javelin
<terrafirmacraftplus:item.Copper Javelin Head>, Copper Javelin Head
<terrafirmacraftplus:item.Copper Knife>, Copper Knife
<terrafirmacraftplus:item.Copper Knife Blade>, Copper Knife Blade
<terrafirmacraftplus:item.Copper Mace>, Copper Mace
<terrafirmacraftplus:item.Copper Mace Head>, Copper Mace Head
<terrafirmacraftplus:item.Copper Pick>, Copper Pickaxe
<terrafirmacraftplus:item.Copper Pick Head>, Copper Pickaxe Head
<terrafirmacraftplus:item.Copper ProPick>, Copper Prospector's Pick
<terrafirmacraftplus:item.Copper ProPick Head>, Copper Prospector's Pick Head
<terrafirmacraftplus:item.Copper Saw>, Copper Saw
<terrafirmacraftplus:item.Copper Saw Blade>, Copper Saw Blade
<terrafirmacraftplus:item.Copper Scythe>, Copper Scythe
<terrafirmacraftplus:item.Copper Scythe Blade>, Copper Scythe Blade
<terrafirmacraftplus:item.Copper Sheet>, Copper Sheet
<terrafirmacraftplus:item.Copper Shovel>, Copper Shovel
<terrafirmacraftplus:item.Copper Shovel Head>, Copper Shovel Head
<terrafirmacraftplus:item.Copper Sword>, Copper Sword
<terrafirmacraftplus:item.Copper Sword Blade>, Copper Sword Blade
<terrafirmacraftplus:item.Copper Trowel>, Copper Mason's Trowel
<terrafirmacraftplus:item.Copper Trowel Head>, Copper Mason's Trowel Head
<terrafirmacraftplus:item.Copper Tuyere>, Copper Tuyere
<terrafirmacraftplus:item.Copper Unfinished Boots>, Unfinished Copper Boots
<terrafirmacraftplus:item.Copper Unfinished Chestplate>, Unfinished Copper Chestplate
<terrafirmacraftplus:item.Copper Unfinished Greaves>, Unfinished Copper Greaves
<terrafirmacraftplus:item.Copper Unfinished Helmet>, Unfinished Copper Helmet
<terrafirmacraftplus:item.Copper Unshaped>, Unshaped: Copper
<terrafirmacraftplus:item.Coracle>, Coracle
<terrafirmacraftplus:item.CoracleUnfinished>, Coracle Frame
<terrafirmacraftplus:item.Corn Beer>, Bottle of Corn Beer
<terrafirmacraftplus:item.Corn BeerPottery>, Corn Beer Jug
<terrafirmacraftplus:item.Corn Bread>, Cornbread
<terrafirmacraftplus:item.Corn Germ>, Corn Malt
<terrafirmacraftplus:item.Corn Wine>, Bottle of Corn Wine
<terrafirmacraftplus:item.Corn WinePottery>, Corn Wine Jug
<terrafirmacraftplus:item.CornWhiskey>, Bottle of Corn Whiskey
<terrafirmacraftplus:item.Cornmeal Dough>, Cornmeal Dough
<terrafirmacraftplus:item.Cornmeal Ground>, Cornmeal
<terrafirmacraftplus:item.Cotton>, Cotton Boll
<terrafirmacraftplus:item.Cotton Cloak>, Cotton Cloak
<terrafirmacraftplus:item.Cotton Coat>, Cotton Coat
<terrafirmacraftplus:item.Cotton Hat>, Cotton Hat
<terrafirmacraftplus:item.Cotton Pants>, Cotton Pants
<terrafirmacraftplus:item.Cotton Robe>, Cotton Robe
<terrafirmacraftplus:item.Cotton Shirt>, Cotton Shirt
<terrafirmacraftplus:item.Cotton Shorts>, Cotton Shorts
<terrafirmacraftplus:item.Cotton Skirt>, Cotton Skirt
<terrafirmacraftplus:item.Cotton Sleeveless Shirt>, Cotton Sleeveless Shirt
<terrafirmacraftplus:item.Cotton Socks>, Cotton Socks
<terrafirmacraftplus:item.Cotton TShirt>, Cotton T-Shirt
<terrafirmacraftplus:item.CottonCloth>, Cotton Cloth
<terrafirmacraftplus:item.CottonYarn>, Cotton Yarn
<terrafirmacraftplus:item.Cranberry>, Cranberries
<terrafirmacraftplus:item.Date>, Date
<terrafirmacraftplus:item.Date Juice>, Bottle of Date Juice
<terrafirmacraftplus:item.Date JuicePottery>, Date Juice Jug
<terrafirmacraftplus:item.DateBrandy>, Bottle of Date Brandy
<terrafirmacraftplus:item.DateWine>, Bottle of Date Wine
<terrafirmacraftplus:item.DateWinePottery>, Date Wine Jug
<terrafirmacraftplus:item.Diamond>, Chipped Diamond
<terrafirmacraftplus:item.Douglas Fir Door>, Douglas Fir Door
<terrafirmacraftplus:item.Ebony Door>, Ebony Door
<terrafirmacraftplus:item.Egg Cooked>, Cooked Egg
<terrafirmacraftplus:item.Elderberry>, Elderberries
<terrafirmacraftplus:item.Emerald>, Chipped Emerald
<terrafirmacraftplus:item.EmptyHoneycomb>, Empty Honeycomb
<terrafirmacraftplus:item.FertileHoneycomb>, Fertile Honeycomb
<terrafirmacraftplus:item.Fertilizer>, Fertilizer
<terrafirmacraftplus:item.Fever Door>, Fever Door
<terrafirmacraftplus:item.Fig>, Fig
<terrafirmacraftplus:item.Fig Juice>, Bottle of Fig Juice
<terrafirmacraftplus:item.Fig JuicePottery>, Fig Juice Jug
<terrafirmacraftplus:item.FigBrandy>, Bottle of Fig Brandy
<terrafirmacraftplus:item.FigWine>, Bottle of Fig Wine
<terrafirmacraftplus:item.FigWinePottery>, Fig Wine Jug
<terrafirmacraftplus:item.Fire Brick>, Clay Fire Brick
<terrafirmacraftplus:item.Firestarter>, Fire Starter
<terrafirmacraftplus:item.Fish>, Fish
<terrafirmacraftplus:item.Flat Bear Fur>, item.Flat Bear Fur.name
<terrafirmacraftplus:item.Flat Burlap>, item.Flat Burlap.name
<terrafirmacraftplus:item.Flat Clay>, Flat Clay
<terrafirmacraftplus:item.Flat Cotton>, item.Flat Cotton.name
<terrafirmacraftplus:item.Flat Fur>, item.Flat Fur.name
<terrafirmacraftplus:item.Flat Hide>, item.Flat Hide.name
<terrafirmacraftplus:item.Flat Leather>, Flat Leather
<terrafirmacraftplus:item.Flat Linen>, item.Flat Linen.name
<terrafirmacraftplus:item.Flat Silk>, item.Flat Silk.name
<terrafirmacraftplus:item.Flat Straw>, item.Flat Straw.name
<terrafirmacraftplus:item.Flat Wolf Fur>, item.Flat Wolf Fur.name
<terrafirmacraftplus:item.Flat Wool>, item.Flat Wool.name
<terrafirmacraftplus:item.FlatRock>, Flat Granite
<terrafirmacraftplus:item.Flax>, Flax
<terrafirmacraftplus:item.Flax Fibre>, Flax Fiber
<terrafirmacraftplus:item.FletchedArrow>, Fletched Arrow
<terrafirmacraftplus:item.Fletching>, Fletching
<terrafirmacraftplus:item.FruitBrandy>, Bottle of Cherry Brandy
<terrafirmacraftplus:item.FruitSapling>, Red Apple Tree Sapling
<terrafirmacraftplus:item.FruitWine>, Bottle of Cherry Wine
<terrafirmacraftplus:item.FruitWinePottery>, Cherry Wine Jug
<terrafirmacraftplus:item.Fruitwood Door>, Fruitwood Door
<terrafirmacraftplus:item.Fur>, Small Fur
<terrafirmacraftplus:item.Fur Boots>, Fur Boots
<terrafirmacraftplus:item.Fur Cloak>, Fur Cloak
<terrafirmacraftplus:item.Fur Coat>, Fur Coat
<terrafirmacraftplus:item.Fur Hat>, Fur Hat
<terrafirmacraftplus:item.Fur Pants>, Fur Pants
<terrafirmacraftplus:item.Fur Scrap>, Small Fur Scrap
<terrafirmacraftplus:item.Garlic>, Garlic
<terrafirmacraftplus:item.Garnet>, Chipped Garnet
<terrafirmacraftplus:item.Ghaf Door>, Ghaf Door
<terrafirmacraftplus:item.Gingko Door>, Gingko Door
<terrafirmacraftplus:item.Glass>, Glass
<terrafirmacraftplus:item.Glass Bottle>, Empty Glass Bottle
<terrafirmacraftplus:item.Gold Candle Holder>, Gold Candle Holder
<terrafirmacraftplus:item.Gold Double Ingot>, Gold Double Ingot
<terrafirmacraftplus:item.Gold Double Sheet>, Gold Double Sheet
<terrafirmacraftplus:item.Gold Ingot>, Gold Ingot
<terrafirmacraftplus:item.Gold Sheet>, Gold Sheet
<terrafirmacraftplus:item.Gold Unshaped>, Unshaped: Gold
<terrafirmacraftplus:item.GoldPan>, Gold Pan
<terrafirmacraftplus:item.Gooseberry>, Gooseberries
<terrafirmacraftplus:item.Grape Juice>, Bottle of Grape Juice
<terrafirmacraftplus:item.Grape JuicePottery>, Grape Juice Jug
<terrafirmacraftplus:item.Grapes>, Grapes
<terrafirmacraftplus:item.Grass Coat>, Grass Cloak
<terrafirmacraftplus:item.Grass Sandals>, Grass Sandals
<terrafirmacraftplus:item.Grass Shirt>, Grass Shirt
<terrafirmacraftplus:item.Grass Skirt>, Grass Skirt
<terrafirmacraftplus:item.Green Apple>, Green Apple
<terrafirmacraftplus:item.Green Bell Pepper>, Green Bell Pepper
<terrafirmacraftplus:item.Greenbeans>, Green Beans
<terrafirmacraftplus:item.HC Black Steel Ingot>, High Carbon Black Steel Ingot
<terrafirmacraftplus:item.HC Black Steel Unshaped>, Unshaped: High Carbon Black Steel
<terrafirmacraftplus:item.HC Blue Steel Ingot>, High Carbon Blue Steel Ingot
<terrafirmacraftplus:item.HC Blue Steel Unshaped>, Unshaped: High Carbon Blue Steel
<terrafirmacraftplus:item.HC Red Steel Ingot>, High Carbon Red Steel Ingot
<terrafirmacraftplus:item.HC Red Steel Unshaped>, Unshaped: High Carbon Red Steel
<terrafirmacraftplus:item.HC Steel Ingot>, High Carbon Steel Ingot
<terrafirmacraftplus:item.HC Steel Unshaped>, Unshaped: High Carbon Steel
<terrafirmacraftplus:item.Hammer Mold>, Clay Hammer Mold
<terrafirmacraftplus:item.Hat Piece>, Wool Hat Piece
<terrafirmacraftplus:item.Hickory Door>, Hickory Door
<terrafirmacraftplus:item.Hide>, Small Raw Hide
<terrafirmacraftplus:item.Hide Bag>, Hide Bag
<terrafirmacraftplus:item.Hoe Mold>, Clay Hoe Mold
<terrafirmacraftplus:item.Hollow Bone>, Hollow Bone
<terrafirmacraftplus:item.HoneyBowl>, Ceramic Bowl (Honey)
<terrafirmacraftplus:item.HoneyJack>, Honey Brandy
<terrafirmacraftplus:item.Honeycomb>, Honeycomb
<terrafirmacraftplus:item.HornTip>, Horn Tip
<terrafirmacraftplus:item.HorseMeat>, Horse Meat
<terrafirmacraftplus:item.IgEx Stone Axe>, Stone Axe
<terrafirmacraftplus:item.IgEx Stone Axe Head>, Stone Axe Head
<terrafirmacraftplus:item.IgEx Stone Hoe>, Stone Hoe
<terrafirmacraftplus:item.IgEx Stone Hoe Head>, Stone Hoe Head
<terrafirmacraftplus:item.IgEx Stone Javelin>, Stone Javelin
<terrafirmacraftplus:item.IgEx Stone Javelin Head>, Stone Javelin Head
<terrafirmacraftplus:item.IgEx Stone Shovel>, Stone Shovel
<terrafirmacraftplus:item.IgEx Stone Shovel Head>, Stone Shovel Head
<terrafirmacraftplus:item.IgIn Stone Axe>, Stone Axe
<terrafirmacraftplus:item.IgIn Stone Axe Head>, Stone Axe Head
<terrafirmacraftplus:item.IgIn Stone Hoe>, Stone Hoe
<terrafirmacraftplus:item.IgIn Stone Hoe Head>, Stone Hoe Head
<terrafirmacraftplus:item.IgIn Stone Javelin>, Stone Javelin
<terrafirmacraftplus:item.IgIn Stone Javelin Head>, Stone Javelin Head
<terrafirmacraftplus:item.IgIn Stone Shovel>, Stone Shovel
<terrafirmacraftplus:item.IgIn Stone Shovel Head>, Stone Shovel Head
<terrafirmacraftplus:item.Ink>, Marking
<terrafirmacraftplus:item.Iron Bloom>, Refined Iron Bloom
<terrafirmacraftplus:item.Iron Needle>, Iron Needle
<terrafirmacraftplus:item.Iron Needle Thread>, Threaded Iron Needle
<terrafirmacraftplus:item.IronRind>, Rind
<terrafirmacraftplus:item.ItemStoneBrick>, Granite Brick
<terrafirmacraftplus:item.Jade>, Chipped Jade
<terrafirmacraftplus:item.Jasper>, Chipped Jasper
<terrafirmacraftplus:item.Javelin Mold>, Clay Javelin Head Mold
<terrafirmacraftplus:item.Joshua Door>, Joshua Door
<terrafirmacraftplus:item.Jug>, Clay Jug
<terrafirmacraftplus:item.Jute>, Jute
<terrafirmacraftplus:item.Jute Fibre>, Jute Fiber
<terrafirmacraftplus:item.Kapok Door>, Kapok Door
<terrafirmacraftplus:item.Knife Mold>, Clay Knife Mold
<terrafirmacraftplus:item.Laurel Door>, Laurel Door
<terrafirmacraftplus:item.Lead Double Ingot>, Lead Double Ingot
<terrafirmacraftplus:item.Lead Double Sheet>, Lead Double Sheet
<terrafirmacraftplus:item.Lead Ingot>, Lead Ingot
<terrafirmacraftplus:item.Lead Sheet>, Lead Sheet
<terrafirmacraftplus:item.Lead Unshaped>, Unshaped: Lead
<terrafirmacraftplus:item.Leather Bag>, Leather Bag
<terrafirmacraftplus:item.Leather Sandals>, Leather Sandals
<terrafirmacraftplus:item.Leather Shorts>, Lederhosen
<terrafirmacraftplus:item.Lemon>, Lemon
<terrafirmacraftplus:item.Lemon Juice>, Bottle of Lemon Juice
<terrafirmacraftplus:item.Lemon JuicePottery>, Lemon Juice Jug
<terrafirmacraftplus:item.LemonBrandy>, Bottle of Lemon Brandy
<terrafirmacraftplus:item.LemonWine>, Bottle of Lemon Wine
<terrafirmacraftplus:item.LemonWinePottery>, Lemon Wine Jug
<terrafirmacraftplus:item.Limba Door>, Limba Door
<terrafirmacraftplus:item.Lime>, Lime
<terrafirmacraftplus:item.Linen Cloak>, Linen Cloak
<terrafirmacraftplus:item.Linen Coat>, Linen Coat
<terrafirmacraftplus:item.Linen Hat>, Linen Hat
<terrafirmacraftplus:item.Linen Pants>, Linen Pants
<terrafirmacraftplus:item.Linen Robe>, Linen Robe
<terrafirmacraftplus:item.Linen Shirt>, Linen Shirt
<terrafirmacraftplus:item.Linen Shorts>, Linen Shorts
<terrafirmacraftplus:item.Linen Skirt>, Linen Skirt
<terrafirmacraftplus:item.Linen Sleeveless Shirt>, Linen Sleeveless Shirt
<terrafirmacraftplus:item.Linen Socks>, Linen Socks
<terrafirmacraftplus:item.Linen TShirt>, Linen T-Shirt
<terrafirmacraftplus:item.LinenCloth>, Linen Cloth
<terrafirmacraftplus:item.LinenString>, Linen String
<terrafirmacraftplus:item.Liquid Lime>, Molten Lime
<terrafirmacraftplus:item.Liquid Silica>, Molten Silica
<terrafirmacraftplus:item.Liquid Soda>, Molten Soda
<terrafirmacraftplus:item.Log>, Oak Log
<terrafirmacraftplus:item.LooseRock>, Granite Rock
<terrafirmacraftplus:item.Lyre>, Unstrung Lyre
<terrafirmacraftplus:item.MM Stone Axe>, Stone Axe
<terrafirmacraftplus:item.MM Stone Axe Head>, Stone Axe Head
<terrafirmacraftplus:item.MM Stone Hoe>, Stone Hoe
<terrafirmacraftplus:item.MM Stone Hoe Head>, Stone Hoe Head
<terrafirmacraftplus:item.MM Stone Javelin>, Stone Javelin
<terrafirmacraftplus:item.MM Stone Javelin Head>, Stone Javelin Head
<terrafirmacraftplus:item.MM Stone Shovel>, Stone Shovel
<terrafirmacraftplus:item.MM Stone Shovel Head>, Stone Shovel Head
<terrafirmacraftplus:item.Mace Mold>, Clay Mace Mold
<terrafirmacraftplus:item.Madder Root>, Madder Root
<terrafirmacraftplus:item.Magnetic Needle>, Magnetized Iron Needle
<terrafirmacraftplus:item.Mahoe Door>, Mahoe Door
<terrafirmacraftplus:item.Mahogany Door>, Mahogany Door
<terrafirmacraftplus:item.Maize Ear>, Maize Ear
<terrafirmacraftplus:item.Mangrove Door>, Mangrove Door
<terrafirmacraftplus:item.Maple Door>, Maple Door
<terrafirmacraftplus:item.Mead>, Bottle of Mead
<terrafirmacraftplus:item.MeadPottery>, Mead Jug
<terrafirmacraftplus:item.Melon>, Melon
<terrafirmacraftplus:item.Milk>, Bottle of Milk
<terrafirmacraftplus:item.MilkPottery>, Milk Jug
<terrafirmacraftplus:item.Millstone>, Millstone
<terrafirmacraftplus:item.Mold>, Clay Mold
<terrafirmacraftplus:item.Molten Glass>, Molten Glass
<terrafirmacraftplus:item.Mortar>, Mortar
<terrafirmacraftplus:item.Mud>, Mud
<terrafirmacraftplus:item.Mud Brick>, Mud Brick
<terrafirmacraftplus:item.Mutton>, Mutton
<terrafirmacraftplus:item.Nametag>, Nametag
<terrafirmacraftplus:item.Nickel Double Ingot>, Nickel Double Ingot
<terrafirmacraftplus:item.Nickel Double Sheet>, Nickel Double Sheet
<terrafirmacraftplus:item.Nickel Ingot>, Nickel Ingot
<terrafirmacraftplus:item.Nickel Sheet>, Nickel Sheet
<terrafirmacraftplus:item.Nickel Unshaped>, Unshaped: Nickel
<terrafirmacraftplus:item.Oak Door>, Oak Door
<terrafirmacraftplus:item.Oat Bread>, Oat Bread
<terrafirmacraftplus:item.Oat Dough>, Oat Dough
<terrafirmacraftplus:item.Oat Grain>, Oat Grain
<terrafirmacraftplus:item.Oat Ground>, Oat Flour
<terrafirmacraftplus:item.Oat Whole>, Oat
<terrafirmacraftplus:item.Olive>, Olive
<terrafirmacraftplus:item.Onion>, Onion
<terrafirmacraftplus:item.Opal>, Chipped Opal
<terrafirmacraftplus:item.Orange>, Orange
<terrafirmacraftplus:item.Orange Juice>, Bottle of Orange Juice
<terrafirmacraftplus:item.Orange JuicePottery>, Orange Juice Jug
